,forecasts,actuals,datetime
14,117.64083,124.99,2022-01-03 00:00:00+01:00
15,111.005394,123.41,2022-01-03 01:00:00+01:00
16,115.12772,122.73,2022-01-03 02:00:00+01:00
17,113.998024,121.55,2022-01-03 03:00:00+01:00
18,119.66741,122.21,2022-01-03 04:00:00+01:00
19,123.70878,123.57,2022-01-03 05:00:00+01:00
20,124.382744,120.68,2022-01-03 06:00:00+01:00
21,125.81898,121.0,2022-01-03 07:00:00+01:00
22,116.75156,126.6,2022-01-03 08:00:00+01:00
23,123.55255,132.56,2022-01-03 09:00:00+01:00
24,119.32073,122.97,2022-01-03 10:00:00+01:00
25,117.92947,123.13,2022-01-03 11:00:00+01:00
26,119.46162,123.97,2022-01-03 12:00:00+01:00
27,116.530975,126.67,2022-01-03 13:00:00+01:00
28,119.42086,133.75,2022-01-03 14:00:00+01:00
29,127.59244,137.72,2022-01-03 15:00:00+01:00
30,129.72209,137.48,2022-01-03 16:00:00+01:00
31,130.73189,143.73,2022-01-03 17:00:00+01:00
32,130.9522,145.13,2022-01-03 18:00:00+01:00
33,131.01782,142.81,2022-01-03 19:00:00+01:00
34,133.05586,142.22,2022-01-03 20:00:00+01:00
35,133.0761,139.6,2022-01-03 21:00:00+01:00
36,132.79149,130.79,2022-01-03 22:00:00+01:00
37,132.3192,113.64,2022-01-03 23:00:00+01:00
