,forecasts,actuals,datetime
14,123.734886,121.88,2022-01-28 00:00:00+01:00
15,123.613914,120.55,2022-01-28 01:00:00+01:00
16,123.57374,120.48,2022-01-28 02:00:00+01:00
17,123.55822,121.05,2022-01-28 03:00:00+01:00
18,123.53464,121.58,2022-01-28 04:00:00+01:00
19,123.54508,128.34,2022-01-28 05:00:00+01:00
20,123.318825,131.06,2022-01-28 06:00:00+01:00
21,131.32152,136.8,2022-01-28 07:00:00+01:00
22,132.51659,142.46,2022-01-28 08:00:00+01:00
23,135.49805,142.57,2022-01-28 09:00:00+01:00
24,136.5732,143.36,2022-01-28 10:00:00+01:00
25,133.42175,143.79,2022-01-28 11:00:00+01:00
26,132.34451,143.24,2022-01-28 12:00:00+01:00
27,135.5807,142.48,2022-01-28 13:00:00+01:00
28,134.23653,142.27,2022-01-28 14:00:00+01:00
29,134.38591,143.14,2022-01-28 15:00:00+01:00
30,133.94312,148.82,2022-01-28 16:00:00+01:00
31,133.82689,150.17,2022-01-28 17:00:00+01:00
32,133.9329,147.47,2022-01-28 18:00:00+01:00
33,133.60643,142.07,2022-01-28 19:00:00+01:00
34,132.33287,136.92,2022-01-28 20:00:00+01:00
35,131.39275,136.36,2022-01-28 21:00:00+01:00
36,130.91714,132.24,2022-01-28 22:00:00+01:00
37,130.79114,124.76,2022-01-28 23:00:00+01:00
