,forecasts,actuals,datetime
14,131.6728,125.89,2022-01-29 00:00:00+01:00
15,132.21901,119.02,2022-01-29 01:00:00+01:00
16,131.71623,109.02,2022-01-29 02:00:00+01:00
17,125.601074,80.05,2022-01-29 03:00:00+01:00
18,124.45493,45.36,2022-01-29 04:00:00+01:00
19,124.020386,46.85,2022-01-29 05:00:00+01:00
20,124.64274,68.73,2022-01-29 06:00:00+01:00
21,125.25589,92.91,2022-01-29 07:00:00+01:00
22,125.63153,114.99,2022-01-29 08:00:00+01:00
23,125.8775,114.54,2022-01-29 09:00:00+01:00
24,126.054955,116.25,2022-01-29 10:00:00+01:00
25,126.13336,122.11,2022-01-29 11:00:00+01:00
26,126.023964,119.91,2022-01-29 12:00:00+01:00
27,126.038,118.88,2022-01-29 13:00:00+01:00
28,126.04258,119.44,2022-01-29 14:00:00+01:00
29,126.4441,120.56,2022-01-29 15:00:00+01:00
30,126.48285,121.29,2022-01-29 16:00:00+01:00
31,126.754906,122.55,2022-01-29 17:00:00+01:00
32,126.80697,125.98,2022-01-29 18:00:00+01:00
33,126.78671,119.22,2022-01-29 19:00:00+01:00
34,126.755,117.77,2022-01-29 20:00:00+01:00
35,126.72875,117.6,2022-01-29 21:00:00+01:00
36,126.12146,113.94,2022-01-29 22:00:00+01:00
37,125.631996,109.77,2022-01-29 23:00:00+01:00
