,forecasts,actuals,datetime
14,134.44263,133.11,2022-01-26 00:00:00+01:00
15,134.29158,131.1,2022-01-26 01:00:00+01:00
16,134.25053,128.64,2022-01-26 02:00:00+01:00
17,134.23686,125.98,2022-01-26 03:00:00+01:00
18,134.41309,125.8,2022-01-26 04:00:00+01:00
19,133.82857,127.51,2022-01-26 05:00:00+01:00
20,134.21234,129.45,2022-01-26 06:00:00+01:00
21,134.32831,132.65,2022-01-26 07:00:00+01:00
22,134.33522,134.86,2022-01-26 08:00:00+01:00
23,133.5575,133.15,2022-01-26 09:00:00+01:00
24,133.32983,131.96,2022-01-26 10:00:00+01:00
25,132.79704,131.21,2022-01-26 11:00:00+01:00
26,132.6781,128.99,2022-01-26 12:00:00+01:00
27,132.59642,127.93,2022-01-26 13:00:00+01:00
28,132.56299,127.93,2022-01-26 14:00:00+01:00
29,132.54483,128.03,2022-01-26 15:00:00+01:00
30,132.5356,130.95,2022-01-26 16:00:00+01:00
31,132.5303,134.31,2022-01-26 17:00:00+01:00
32,131.80556,133.76,2022-01-26 18:00:00+01:00
33,131.48305,131.67,2022-01-26 19:00:00+01:00
34,131.26451,131.1,2022-01-26 20:00:00+01:00
35,131.55264,131.35,2022-01-26 21:00:00+01:00
36,132.61967,129.59,2022-01-26 22:00:00+01:00
37,131.57619,126.26,2022-01-26 23:00:00+01:00
