,forecasts,actuals,datetime
14,155.41127,147.5,2022-01-11 00:00:00+01:00
15,157.78261,143.76,2022-01-11 01:00:00+01:00
16,160.03075,140.21,2022-01-11 02:00:00+01:00
17,160.78978,139.97,2022-01-11 03:00:00+01:00
18,174.8341,141.56,2022-01-11 04:00:00+01:00
19,219.67555,147.1,2022-01-11 05:00:00+01:00
20,214.17664,147.59,2022-01-11 06:00:00+01:00
21,213.04732,152.28,2022-01-11 07:00:00+01:00
22,210.07396,153.76,2022-01-11 08:00:00+01:00
23,198.38115,153.54,2022-01-11 09:00:00+01:00
24,192.84618,153.47,2022-01-11 10:00:00+01:00
25,199.13264,156.17,2022-01-11 11:00:00+01:00
26,211.1783,153.77,2022-01-11 12:00:00+01:00
27,196.61884,153.02,2022-01-11 13:00:00+01:00
28,184.47101,153.1,2022-01-11 14:00:00+01:00
29,176.34416,153.96,2022-01-11 15:00:00+01:00
30,194.84596,156.43,2022-01-11 16:00:00+01:00
31,208.12166,168.6,2022-01-11 17:00:00+01:00
32,171.23254,163.15,2022-01-11 18:00:00+01:00
33,159.9373,153.4,2022-01-11 19:00:00+01:00
34,160.23187,153.13,2022-01-11 20:00:00+01:00
35,160.71388,153.63,2022-01-11 21:00:00+01:00
36,163.72342,150.56,2022-01-11 22:00:00+01:00
37,167.91478,145.36,2022-01-11 23:00:00+01:00
