,forecasts,actuals,datetime
14,142.00056,148.59,2022-01-08 00:00:00+01:00
15,141.29237,146.08,2022-01-08 01:00:00+01:00
16,140.32808,144.64,2022-01-08 02:00:00+01:00
17,132.11711,145.74,2022-01-08 03:00:00+01:00
18,134.29333,146.97,2022-01-08 04:00:00+01:00
19,136.29753,146.88,2022-01-08 05:00:00+01:00
20,138.28363,146.56,2022-01-08 06:00:00+01:00
21,140.4978,147.18,2022-01-08 07:00:00+01:00
22,147.33308,149.2,2022-01-08 08:00:00+01:00
23,143.50923,151.54,2022-01-08 09:00:00+01:00
24,157.11842,154.47,2022-01-08 10:00:00+01:00
25,159.34662,153.91,2022-01-08 11:00:00+01:00
26,153.43651,154.18,2022-01-08 12:00:00+01:00
27,150.97095,151.54,2022-01-08 13:00:00+01:00
28,149.30727,151.66,2022-01-08 14:00:00+01:00
29,150.44165,154.28,2022-01-08 15:00:00+01:00
30,144.75806,156.34,2022-01-08 16:00:00+01:00
31,163.61299,151.55,2022-01-08 17:00:00+01:00
32,160.84245,148.37,2022-01-08 18:00:00+01:00
33,144.99347,140.08,2022-01-08 19:00:00+01:00
34,148.25206,128.05,2022-01-08 20:00:00+01:00
35,147.84845,126.62,2022-01-08 21:00:00+01:00
36,147.94301,123.19,2022-01-08 22:00:00+01:00
37,127.033104,121.94,2022-01-08 23:00:00+01:00
