,forecasts,actuals,datetime
14,130.60619,126.3,2022-01-27 00:00:00+01:00
15,130.9195,120.97,2022-01-27 01:00:00+01:00
16,131.1784,116.28,2022-01-27 02:00:00+01:00
17,130.42146,114.82,2022-01-27 03:00:00+01:00
18,130.96826,114.95,2022-01-27 04:00:00+01:00
19,132.7056,117.45,2022-01-27 05:00:00+01:00
20,132.20763,122.45,2022-01-27 06:00:00+01:00
21,132.08998,128.14,2022-01-27 07:00:00+01:00
22,136.95671,133.95,2022-01-27 08:00:00+01:00
23,135.52412,132.91,2022-01-27 09:00:00+01:00
24,132.52473,132.86,2022-01-27 10:00:00+01:00
25,132.35973,131.89,2022-01-27 11:00:00+01:00
26,132.14998,130.27,2022-01-27 12:00:00+01:00
27,131.9131,131.58,2022-01-27 13:00:00+01:00
28,131.82658,132.85,2022-01-27 14:00:00+01:00
29,132.22517,132.85,2022-01-27 15:00:00+01:00
30,135.40938,133.32,2022-01-27 16:00:00+01:00
31,135.34831,132.47,2022-01-27 17:00:00+01:00
32,133.17485,128.39,2022-01-27 18:00:00+01:00
33,131.0778,124.46,2022-01-27 19:00:00+01:00
34,133.238,124.09,2022-01-27 20:00:00+01:00
35,132.409,125.82,2022-01-27 21:00:00+01:00
36,131.45296,123.17,2022-01-27 22:00:00+01:00
37,130.85999,121.51,2022-01-27 23:00:00+01:00
