,forecasts,actuals,datetime
14,114.76609,111.47,2022-01-30 00:00:00+01:00
15,114.82961,103.26,2022-01-30 01:00:00+01:00
16,114.602486,99.47,2022-01-30 02:00:00+01:00
17,114.61435,101.98,2022-01-30 03:00:00+01:00
18,114.86847,100.54,2022-01-30 04:00:00+01:00
19,115.700745,106.25,2022-01-30 05:00:00+01:00
20,116.43035,111.25,2022-01-30 06:00:00+01:00
21,116.70075,112.31,2022-01-30 07:00:00+01:00
22,116.865364,114.09,2022-01-30 08:00:00+01:00
23,117.74055,116.56,2022-01-30 09:00:00+01:00
24,118.05988,119.82,2022-01-30 10:00:00+01:00
25,118.19004,119.84,2022-01-30 11:00:00+01:00
26,117.625305,119.79,2022-01-30 12:00:00+01:00
27,118.199486,119.25,2022-01-30 13:00:00+01:00
28,118.45614,119.82,2022-01-30 14:00:00+01:00
29,118.54401,120.41,2022-01-30 15:00:00+01:00
30,118.641716,123.56,2022-01-30 16:00:00+01:00
31,132.17816,131.79,2022-01-30 17:00:00+01:00
32,135.23912,137.78,2022-01-30 18:00:00+01:00
33,137.69777,140.42,2022-01-30 19:00:00+01:00
34,137.14171,141.78,2022-01-30 20:00:00+01:00
35,137.1202,142.17,2022-01-30 21:00:00+01:00
36,135.18797,142.79,2022-01-30 22:00:00+01:00
37,134.29126,139.74,2022-01-30 23:00:00+01:00
