,forecasts,actuals,datetime
14,131.92,142.27,2022-01-15 00:00:00+01:00
15,131.92487,140.55,2022-01-15 01:00:00+01:00
16,131.96507,140.21,2022-01-15 02:00:00+01:00
17,131.99245,140.25,2022-01-15 03:00:00+01:00
18,131.96968,140.56,2022-01-15 04:00:00+01:00
19,131.94856,142.18,2022-01-15 05:00:00+01:00
20,134.13054,142.54,2022-01-15 06:00:00+01:00
21,134.43225,142.95,2022-01-15 07:00:00+01:00
22,136.55951,149.97,2022-01-15 08:00:00+01:00
23,137.28703,169.92,2022-01-15 09:00:00+01:00
24,137.58049,203.52,2022-01-15 10:00:00+01:00
25,137.47389,196.43,2022-01-15 11:00:00+01:00
26,137.51198,157.91,2022-01-15 12:00:00+01:00
27,137.51892,153.04,2022-01-15 13:00:00+01:00
28,137.5181,150.5,2022-01-15 14:00:00+01:00
29,137.56065,179.91,2022-01-15 15:00:00+01:00
30,137.58061,209.27,2022-01-15 16:00:00+01:00
31,137.5876,159.54,2022-01-15 17:00:00+01:00
32,137.86183,159.27,2022-01-15 18:00:00+01:00
33,137.68976,153.67,2022-01-15 19:00:00+01:00
34,137.58153,144.95,2022-01-15 20:00:00+01:00
35,137.58783,144.24,2022-01-15 21:00:00+01:00
36,136.18266,139.97,2022-01-15 22:00:00+01:00
37,133.34827,137.88,2022-01-15 23:00:00+01:00
