,forecasts,actuals,datetime
14,97.77439,120.92,2022-01-17 00:00:00+01:00
15,97.78281,119.39,2022-01-17 01:00:00+01:00
16,97.830055,119.1,2022-01-17 02:00:00+01:00
17,97.78709,119.65,2022-01-17 03:00:00+01:00
18,98.17486,120.38,2022-01-17 04:00:00+01:00
19,98.251656,121.86,2022-01-17 05:00:00+01:00
20,116.96511,124.75,2022-01-17 06:00:00+01:00
21,136.98033,126.3,2022-01-17 07:00:00+01:00
22,139.19232,130.03,2022-01-17 08:00:00+01:00
23,139.46294,129.51,2022-01-17 09:00:00+01:00
24,139.99574,128.83,2022-01-17 10:00:00+01:00
25,139.73521,127.84,2022-01-17 11:00:00+01:00
26,133.5071,127.57,2022-01-17 12:00:00+01:00
27,115.05969,129.88,2022-01-17 13:00:00+01:00
28,113.49814,134.58,2022-01-17 14:00:00+01:00
29,133.81982,139.85,2022-01-17 15:00:00+01:00
30,139.14018,144.87,2022-01-17 16:00:00+01:00
31,140.42935,150.62,2022-01-17 17:00:00+01:00
32,137.6973,149.96,2022-01-17 18:00:00+01:00
33,136.85573,144.76,2022-01-17 19:00:00+01:00
34,133.52385,143.57,2022-01-17 20:00:00+01:00
35,131.69186,142.52,2022-01-17 21:00:00+01:00
36,132.64143,140.1,2022-01-17 22:00:00+01:00
37,133.79492,139.06,2022-01-17 23:00:00+01:00
