,forecasts,actuals,datetime
14,132.38518,125.33,2022-01-09 00:00:00+01:00
15,129.25363,115.15,2022-01-09 01:00:00+01:00
16,126.57609,111.68,2022-01-09 02:00:00+01:00
17,128.08829,108.92,2022-01-09 03:00:00+01:00
18,130.66719,102.63,2022-01-09 04:00:00+01:00
19,132.21393,99.61,2022-01-09 05:00:00+01:00
20,132.98619,101.66,2022-01-09 06:00:00+01:00
21,133.28864,101.68,2022-01-09 07:00:00+01:00
22,133.47943,111.87,2022-01-09 08:00:00+01:00
23,133.26372,128.56,2022-01-09 09:00:00+01:00
24,157.03268,134.96,2022-01-09 10:00:00+01:00
25,162.73547,144.55,2022-01-09 11:00:00+01:00
26,162.86891,148.67,2022-01-09 12:00:00+01:00
27,162.4315,150.18,2022-01-09 13:00:00+01:00
28,162.60065,150.39,2022-01-09 14:00:00+01:00
29,162.53868,153.77,2022-01-09 15:00:00+01:00
30,163.09627,180.97,2022-01-09 16:00:00+01:00
31,177.4621,216.15,2022-01-09 17:00:00+01:00
32,222.82652,236.13,2022-01-09 18:00:00+01:00
33,224.65161,199.93,2022-01-09 19:00:00+01:00
34,224.48186,154.21,2022-01-09 20:00:00+01:00
35,220.34308,150.46,2022-01-09 21:00:00+01:00
36,217.94995,148.23,2022-01-09 22:00:00+01:00
37,202.20593,144.79,2022-01-09 23:00:00+01:00
