,forecasts,actuals,datetime
14,137.1011,141.21,2022-01-18 00:00:00+01:00
15,136.70708,139.52,2022-01-18 01:00:00+01:00
16,137.11961,139.14,2022-01-18 02:00:00+01:00
17,137.11101,139.04,2022-01-18 03:00:00+01:00
18,137.1342,139.97,2022-01-18 04:00:00+01:00
19,137.50157,145.35,2022-01-18 05:00:00+01:00
20,137.68477,154.7,2022-01-18 06:00:00+01:00
21,138.46413,259.39,2022-01-18 07:00:00+01:00
22,141.71481,279.0,2022-01-18 08:00:00+01:00
23,138.46118,240.86,2022-01-18 09:00:00+01:00
24,139.89638,194.29,2022-01-18 10:00:00+01:00
25,141.1872,159.05,2022-01-18 11:00:00+01:00
26,141.18193,152.9,2022-01-18 12:00:00+01:00
27,141.12535,151.18,2022-01-18 13:00:00+01:00
28,141.10815,149.54,2022-01-18 14:00:00+01:00
29,141.1088,148.94,2022-01-18 15:00:00+01:00
30,141.109,150.26,2022-01-18 16:00:00+01:00
31,141.10966,151.09,2022-01-18 17:00:00+01:00
32,141.13808,147.91,2022-01-18 18:00:00+01:00
33,141.15392,143.77,2022-01-18 19:00:00+01:00
34,141.00414,139.95,2022-01-18 20:00:00+01:00
35,139.21733,139.7,2022-01-18 21:00:00+01:00
36,139.39717,137.5,2022-01-18 22:00:00+01:00
37,126.46118,133.58,2022-01-18 23:00:00+01:00
