,forecasts,actuals,datetime
14,146.1504,131.65,2022-01-23 00:00:00+01:00
15,146.1523,131.37,2022-01-23 01:00:00+01:00
16,146.15425,131.4,2022-01-23 02:00:00+01:00
17,146.15608,131.32,2022-01-23 03:00:00+01:00
18,146.15788,131.27,2022-01-23 04:00:00+01:00
19,146.2453,131.84,2022-01-23 05:00:00+01:00
20,145.81615,131.88,2022-01-23 06:00:00+01:00
21,145.95235,132.75,2022-01-23 07:00:00+01:00
22,147.54506,133.46,2022-01-23 08:00:00+01:00
23,147.94011,137.92,2022-01-23 09:00:00+01:00
24,147.64642,140.07,2022-01-23 10:00:00+01:00
25,148.44368,140.63,2022-01-23 11:00:00+01:00
26,147.85295,140.87,2022-01-23 12:00:00+01:00
27,148.25916,139.96,2022-01-23 13:00:00+01:00
28,147.75958,139.45,2022-01-23 14:00:00+01:00
29,148.24788,139.81,2022-01-23 15:00:00+01:00
30,149.21658,142.47,2022-01-23 16:00:00+01:00
31,148.92232,144.52,2022-01-23 17:00:00+01:00
32,148.8915,142.97,2022-01-23 18:00:00+01:00
33,149.40472,139.92,2022-01-23 19:00:00+01:00
34,149.48311,135.13,2022-01-23 20:00:00+01:00
35,148.06335,133.09,2022-01-23 21:00:00+01:00
36,148.83812,132.29,2022-01-23 22:00:00+01:00
37,147.91512,131.3,2022-01-23 23:00:00+01:00
