,forecasts,actuals,datetime
14,143.6557,143.34,2022-01-12 00:00:00+01:00
15,145.58534,140.88,2022-01-12 01:00:00+01:00
16,145.88307,139.5,2022-01-12 02:00:00+01:00
17,145.17613,139.25,2022-01-12 03:00:00+01:00
18,145.33678,140.12,2022-01-12 04:00:00+01:00
19,142.266,141.79,2022-01-12 05:00:00+01:00
20,140.8291,141.82,2022-01-12 06:00:00+01:00
21,140.5189,146.56,2022-01-12 07:00:00+01:00
22,140.50368,148.99,2022-01-12 08:00:00+01:00
23,140.50581,146.04,2022-01-12 09:00:00+01:00
24,140.4801,143.61,2022-01-12 10:00:00+01:00
25,140.42047,140.19,2022-01-12 11:00:00+01:00
26,140.24904,140.0,2022-01-12 12:00:00+01:00
27,139.81929,139.04,2022-01-12 13:00:00+01:00
28,139.58772,137.34,2022-01-12 14:00:00+01:00
29,139.43155,136.55,2022-01-12 15:00:00+01:00
30,139.34251,136.64,2022-01-12 16:00:00+01:00
31,139.77817,136.54,2022-01-12 17:00:00+01:00
32,140.7143,135.31,2022-01-12 18:00:00+01:00
33,140.62279,132.85,2022-01-12 19:00:00+01:00
34,135.84201,131.18,2022-01-12 20:00:00+01:00
35,133.43181,130.71,2022-01-12 21:00:00+01:00
36,132.23732,129.11,2022-01-12 22:00:00+01:00
37,123.4475,127.81,2022-01-12 23:00:00+01:00
