,forecasts,actuals,datetime
14,132.63991,127.54,2022-01-21 00:00:00+01:00
15,137.41081,126.85,2022-01-21 01:00:00+01:00
16,129.42073,127.49,2022-01-21 02:00:00+01:00
17,124.87555,127.98,2022-01-21 03:00:00+01:00
18,121.7244,128.27,2022-01-21 04:00:00+01:00
19,126.621315,131.22,2022-01-21 05:00:00+01:00
20,136.46043,132.59,2022-01-21 06:00:00+01:00
21,138.27931,141.57,2022-01-21 07:00:00+01:00
22,138.80731,144.49,2022-01-21 08:00:00+01:00
23,138.51344,144.28,2022-01-21 09:00:00+01:00
24,138.43593,144.15,2022-01-21 10:00:00+01:00
25,138.42052,142.68,2022-01-21 11:00:00+01:00
26,138.42128,141.36,2022-01-21 12:00:00+01:00
27,138.2862,144.47,2022-01-21 13:00:00+01:00
28,138.3514,142.72,2022-01-21 14:00:00+01:00
29,138.29373,143.76,2022-01-21 15:00:00+01:00
30,138.81546,145.69,2022-01-21 16:00:00+01:00
31,139.00752,148.34,2022-01-21 17:00:00+01:00
32,138.88817,146.93,2022-01-21 18:00:00+01:00
33,138.88818,141.29,2022-01-21 19:00:00+01:00
34,139.89479,136.78,2022-01-21 20:00:00+01:00
35,139.14442,134.18,2022-01-21 21:00:00+01:00
36,139.7702,133.59,2022-01-21 22:00:00+01:00
37,136.66888,127.58,2022-01-21 23:00:00+01:00
