,forecasts,actuals,datetime
14,132.65045,131.71,2022-01-04 00:00:00+01:00
15,133.12862,131.87,2022-01-04 01:00:00+01:00
16,129.98897,128.56,2022-01-04 02:00:00+01:00
17,126.82519,115.49,2022-01-04 03:00:00+01:00
18,126.11021,113.38,2022-01-04 04:00:00+01:00
19,125.54232,133.06,2022-01-04 05:00:00+01:00
20,108.39109,143.44,2022-01-04 06:00:00+01:00
21,120.90621,154.93,2022-01-04 07:00:00+01:00
22,126.12192,167.88,2022-01-04 08:00:00+01:00
23,126.96698,166.65,2022-01-04 09:00:00+01:00
24,126.595146,167.29,2022-01-04 10:00:00+01:00
25,124.707214,164.62,2022-01-04 11:00:00+01:00
26,120.90927,159.98,2022-01-04 12:00:00+01:00
27,121.18308,155.69,2022-01-04 13:00:00+01:00
28,121.68115,155.16,2022-01-04 14:00:00+01:00
29,122.70048,158.45,2022-01-04 15:00:00+01:00
30,126.40814,161.35,2022-01-04 16:00:00+01:00
31,127.60659,167.76,2022-01-04 17:00:00+01:00
32,127.8053,164.46,2022-01-04 18:00:00+01:00
33,128.11229,153.88,2022-01-04 19:00:00+01:00
34,135.83803,146.81,2022-01-04 20:00:00+01:00
35,123.17627,141.57,2022-01-04 21:00:00+01:00
36,118.684364,137.22,2022-01-04 22:00:00+01:00
37,119.45615,114.25,2022-01-04 23:00:00+01:00
