,forecasts,actuals,datetime
14,140.35736,113.56,2022-01-02 00:00:00+01:00
15,140.21295,111.66,2022-01-02 01:00:00+01:00
16,140.17038,106.53,2022-01-02 02:00:00+01:00
17,140.16136,104.5,2022-01-02 03:00:00+01:00
18,140.1595,104.06,2022-01-02 04:00:00+01:00
19,139.78963,105.86,2022-01-02 05:00:00+01:00
20,140.14429,111.97,2022-01-02 06:00:00+01:00
21,140.16779,105.22,2022-01-02 07:00:00+01:00
22,140.16655,111.53,2022-01-02 08:00:00+01:00
23,140.17027,115.81,2022-01-02 09:00:00+01:00
24,140.21117,121.94,2022-01-02 10:00:00+01:00
25,141.21474,121.3,2022-01-02 11:00:00+01:00
26,140.0842,112.43,2022-01-02 12:00:00+01:00
27,140.13945,111.39,2022-01-02 13:00:00+01:00
28,140.14966,111.48,2022-01-02 14:00:00+01:00
29,140.14629,118.19,2022-01-02 15:00:00+01:00
30,140.14528,122.3,2022-01-02 16:00:00+01:00
31,140.15523,129.79,2022-01-02 17:00:00+01:00
32,140.14474,135.97,2022-01-02 18:00:00+01:00
33,140.14494,128.33,2022-01-02 19:00:00+01:00
34,140.15245,116.32,2022-01-02 20:00:00+01:00
35,140.17389,110.2,2022-01-02 21:00:00+01:00
36,140.17561,104.81,2022-01-02 22:00:00+01:00
37,140.17896,110.16,2022-01-02 23:00:00+01:00
