,forecasts,actuals,datetime
14,147.26459,144.28,2022-01-10 00:00:00+01:00
15,144.73903,138.09,2022-01-10 01:00:00+01:00
16,144.35255,136.92,2022-01-10 02:00:00+01:00
17,144.34581,139.06,2022-01-10 03:00:00+01:00
18,144.03632,142.99,2022-01-10 04:00:00+01:00
19,163.98589,152.09,2022-01-10 05:00:00+01:00
20,187.71556,166.36,2022-01-10 06:00:00+01:00
21,215.63945,249.0,2022-01-10 07:00:00+01:00
22,220.72717,285.72,2022-01-10 08:00:00+01:00
23,220.55684,304.92,2022-01-10 09:00:00+01:00
24,220.6906,300.47,2022-01-10 10:00:00+01:00
25,220.6202,300.16,2022-01-10 11:00:00+01:00
26,220.61623,290.4,2022-01-10 12:00:00+01:00
27,220.67212,280.03,2022-01-10 13:00:00+01:00
28,220.4023,159.94,2022-01-10 14:00:00+01:00
29,220.45235,169.4,2022-01-10 15:00:00+01:00
30,220.60545,161.77,2022-01-10 16:00:00+01:00
31,220.63116,163.17,2022-01-10 17:00:00+01:00
32,220.61426,180.46,2022-01-10 18:00:00+01:00
33,218.88399,155.04,2022-01-10 19:00:00+01:00
34,216.40718,159.78,2022-01-10 20:00:00+01:00
35,211.77966,162.66,2022-01-10 21:00:00+01:00
36,203.47957,155.48,2022-01-10 22:00:00+01:00
37,200.59987,150.09,2022-01-10 23:00:00+01:00
