,forecasts,actuals,datetime
14,143.31041,133.96,2022-01-07 00:00:00+01:00
15,137.85657,129.44,2022-01-07 01:00:00+01:00
16,139.82362,122.54,2022-01-07 02:00:00+01:00
17,140.32336,122.06,2022-01-07 03:00:00+01:00
18,140.5241,122.08,2022-01-07 04:00:00+01:00
19,139.02881,127.17,2022-01-07 05:00:00+01:00
20,151.27252,140.19,2022-01-07 06:00:00+01:00
21,166.76454,152.64,2022-01-07 07:00:00+01:00
22,173.42293,156.3,2022-01-07 08:00:00+01:00
23,155.90303,157.15,2022-01-07 09:00:00+01:00
24,152.2686,157.02,2022-01-07 10:00:00+01:00
25,151.48476,160.91,2022-01-07 11:00:00+01:00
26,151.92162,161.71,2022-01-07 12:00:00+01:00
27,169.17964,161.15,2022-01-07 13:00:00+01:00
28,178.58339,162.6,2022-01-07 14:00:00+01:00
29,180.11377,177.62,2022-01-07 15:00:00+01:00
30,180.14832,195.71,2022-01-07 16:00:00+01:00
31,179.69322,235.57,2022-01-07 17:00:00+01:00
32,179.6119,240.53,2022-01-07 18:00:00+01:00
33,173.38208,172.82,2022-01-07 19:00:00+01:00
34,149.4317,160.5,2022-01-07 20:00:00+01:00
35,147.5836,157.95,2022-01-07 21:00:00+01:00
36,148.84187,153.9,2022-01-07 22:00:00+01:00
37,148.82196,144.76,2022-01-07 23:00:00+01:00
