,forecasts,actuals,datetime
14,147.08856,125.81,2022-01-06 00:00:00+01:00
15,148.6424,124.94,2022-01-06 01:00:00+01:00
16,142.56691,125.01,2022-01-06 02:00:00+01:00
17,121.152916,129.93,2022-01-06 03:00:00+01:00
18,123.72009,140.02,2022-01-06 04:00:00+01:00
19,127.38117,146.89,2022-01-06 05:00:00+01:00
20,159.21246,151.89,2022-01-06 06:00:00+01:00
21,168.55737,153.62,2022-01-06 07:00:00+01:00
22,176.02783,182.64,2022-01-06 08:00:00+01:00
23,179.07799,205.87,2022-01-06 09:00:00+01:00
24,181.30426,209.25,2022-01-06 10:00:00+01:00
25,182.24487,224.71,2022-01-06 11:00:00+01:00
26,182.77368,218.99,2022-01-06 12:00:00+01:00
27,183.18282,202.71,2022-01-06 13:00:00+01:00
28,183.5293,209.36,2022-01-06 14:00:00+01:00
29,183.62184,224.08,2022-01-06 15:00:00+01:00
30,183.84705,238.82,2022-01-06 16:00:00+01:00
31,184.09033,266.16,2022-01-06 17:00:00+01:00
32,184.3031,264.96,2022-01-06 18:00:00+01:00
33,184.47467,213.94,2022-01-06 19:00:00+01:00
34,183.40462,211.59,2022-01-06 20:00:00+01:00
35,177.25488,196.8,2022-01-06 21:00:00+01:00
36,175.92204,155.93,2022-01-06 22:00:00+01:00
37,148.52641,139.78,2022-01-06 23:00:00+01:00
