,forecasts,actuals,datetime
14,117.71558,116.75,2022-01-14 00:00:00+01:00
15,120.091,113.55,2022-01-14 01:00:00+01:00
16,118.74224,111.7,2022-01-14 02:00:00+01:00
17,118.520355,110.9,2022-01-14 03:00:00+01:00
18,117.601616,113.34,2022-01-14 04:00:00+01:00
19,116.98544,120.35,2022-01-14 05:00:00+01:00
20,116.53007,124.9,2022-01-14 06:00:00+01:00
21,117.50849,128.56,2022-01-14 07:00:00+01:00
22,122.14596,129.97,2022-01-14 08:00:00+01:00
23,123.35144,129.97,2022-01-14 09:00:00+01:00
24,124.68308,131.36,2022-01-14 10:00:00+01:00
25,123.82767,129.95,2022-01-14 11:00:00+01:00
26,124.96993,129.5,2022-01-14 12:00:00+01:00
27,125.00114,129.25,2022-01-14 13:00:00+01:00
28,126.46893,132.74,2022-01-14 14:00:00+01:00
29,126.901634,135.99,2022-01-14 15:00:00+01:00
30,127.50455,137.68,2022-01-14 16:00:00+01:00
31,128.3623,141.68,2022-01-14 17:00:00+01:00
32,128.45845,140.8,2022-01-14 18:00:00+01:00
33,129.03745,141.27,2022-01-14 19:00:00+01:00
34,129.77519,141.12,2022-01-14 20:00:00+01:00
35,129.6826,141.41,2022-01-14 21:00:00+01:00
36,133.3786,140.96,2022-01-14 22:00:00+01:00
37,133.69804,140.51,2022-01-14 23:00:00+01:00
