,forecasts,actuals,datetime
14,84.86393,49.478348,2022-01-28 00:00:00+01:00
15,84.02004,48.665134,2022-01-28 01:00:00+01:00
16,83.60343,49.533703,2022-01-28 02:00:00+01:00
17,83.39928,51.01285,2022-01-28 03:00:00+01:00
18,85.465294,62.869793,2022-01-28 04:00:00+01:00
19,112.430534,150.0,2022-01-28 05:00:00+01:00
20,128.23373,137.33441,2022-01-28 06:00:00+01:00
21,133.07567,124.66883,2022-01-28 07:00:00+01:00
22,136.96082,133.61942,2022-01-28 08:00:00+01:00
23,136.98631,142.57,2022-01-28 09:00:00+01:00
24,137.06758,141.33185,2022-01-28 10:00:00+01:00
25,135.30188,143.70688,2022-01-28 11:00:00+01:00
26,137.65216,144.11107,2022-01-28 12:00:00+01:00
27,131.53618,143.93008,2022-01-28 13:00:00+01:00
28,133.45555,141.09381,2022-01-28 14:00:00+01:00
29,134.34709,144.68988,2022-01-28 15:00:00+01:00
30,137.49438,149.45583,2022-01-28 16:00:00+01:00
31,138.36787,146.02621,2022-01-28 17:00:00+01:00
32,138.3679,142.59659,2022-01-28 18:00:00+01:00
33,136.94298,139.16698,2022-01-28 19:00:00+01:00
34,133.34235,135.73735,2022-01-28 20:00:00+01:00
35,129.77458,128.35475,2022-01-28 21:00:00+01:00
36,130.0049,132.69853,2022-01-28 22:00:00+01:00
37,118.07241,109.9156,2022-01-28 23:00:00+01:00
