,forecasts,actuals,datetime
14,96.20035,84.77302,2022-01-29 00:00:00+01:00
15,94.68485,70.191055,2022-01-29 01:00:00+01:00
16,85.62896,87.010544,2022-01-29 02:00:00+01:00
17,80.45623,59.848663,2022-01-29 03:00:00+01:00
18,63.085712,23.031496,2022-01-29 04:00:00+01:00
19,48.47925,19.693674,2022-01-29 05:00:00+01:00
20,45.94261,22.819937,2022-01-29 06:00:00+01:00
21,46.534817,57.508873,2022-01-29 07:00:00+01:00
22,48.440308,67.90687,2022-01-29 08:00:00+01:00
23,49.631943,80.80992,2022-01-29 09:00:00+01:00
24,49.63222,86.99139,2022-01-29 10:00:00+01:00
25,45.942997,78.24153,2022-01-29 11:00:00+01:00
26,44.99593,79.38189,2022-01-29 12:00:00+01:00
27,44.249416,77.904495,2022-01-29 13:00:00+01:00
28,44.245743,81.10103,2022-01-29 14:00:00+01:00
29,44.245586,78.8497,2022-01-29 15:00:00+01:00
30,47.22137,77.98724,2022-01-29 16:00:00+01:00
31,50.80533,74.97025,2022-01-29 17:00:00+01:00
32,51.356213,82.611305,2022-01-29 18:00:00+01:00
33,89.52322,93.39886,2022-01-29 19:00:00+01:00
34,110.60452,106.32639,2022-01-29 20:00:00+01:00
35,115.17249,104.40095,2022-01-29 21:00:00+01:00
36,116.34647,99.08709,2022-01-29 22:00:00+01:00
37,116.346466,93.21308,2022-01-29 23:00:00+01:00
