,forecasts,actuals,datetime
14,130.9409,144.33348,2022-01-31 00:00:00+01:00
15,137.81956,137.78,2022-01-31 01:00:00+01:00
16,125.64225,124.05174,2022-01-31 02:00:00+01:00
17,123.53707,117.88585,2022-01-31 03:00:00+01:00
18,122.5444,121.698006,2022-01-31 04:00:00+01:00
19,121.90783,151.79146,2022-01-31 05:00:00+01:00
20,124.63357,153.83237,2022-01-31 06:00:00+01:00
21,185.47728,250.31131,2022-01-31 07:00:00+01:00
22,195.2517,278.49,2022-01-31 08:00:00+01:00
23,185.13759,253.43,2022-01-31 09:00:00+01:00
24,181.89949,237.14,2022-01-31 10:00:00+01:00
25,188.3477,246.087,2022-01-31 11:00:00+01:00
26,195.70161,239.20111,2022-01-31 12:00:00+01:00
27,197.1366,232.31522,2022-01-31 13:00:00+01:00
28,197.78896,214.77443,2022-01-31 14:00:00+01:00
29,198.31627,257.37534,2022-01-31 15:00:00+01:00
30,199.765,249.51611,2022-01-31 16:00:00+01:00
31,199.838,268.90576,2022-01-31 17:00:00+01:00
32,199.84735,296.49988,2022-01-31 18:00:00+01:00
33,200.25293,260.05078,2022-01-31 19:00:00+01:00
34,204.89868,228.59814,2022-01-31 20:00:00+01:00
35,184.96393,179.69504,2022-01-31 21:00:00+01:00
36,183.92296,166.99,2022-01-31 22:00:00+01:00
37,183.60956,163.0187,2022-01-31 23:00:00+01:00
