,forecasts,actuals,datetime
14,119.37494,106.35996,2022-01-26 00:00:00+01:00
15,118.54691,99.75,2022-01-26 01:00:00+01:00
16,123.0886,126.61562,2022-01-26 02:00:00+01:00
17,122.2503,124.0,2022-01-26 03:00:00+01:00
18,122.0646,124.0,2022-01-26 04:00:00+01:00
19,124.49015,125.0,2022-01-26 05:00:00+01:00
20,130.66817,125.7945,2022-01-26 06:00:00+01:00
21,130.65166,126.57776,2022-01-26 07:00:00+01:00
22,130.65169,128.43678,2022-01-26 08:00:00+01:00
23,131.4113,128.65463,2022-01-26 09:00:00+01:00
24,131.41142,127.58581,2022-01-26 10:00:00+01:00
25,130.49037,126.295204,2022-01-26 11:00:00+01:00
26,130.47751,125.80452,2022-01-26 12:00:00+01:00
27,130.4776,124.68018,2022-01-26 13:00:00+01:00
28,130.47769,124.7443,2022-01-26 14:00:00+01:00
29,130.47768,126.633934,2022-01-26 15:00:00+01:00
30,130.0178,122.66303,2022-01-26 16:00:00+01:00
31,130.47786,129.41245,2022-01-26 17:00:00+01:00
32,132.32549,128.69688,2022-01-26 18:00:00+01:00
33,132.32552,123.420746,2022-01-26 19:00:00+01:00
34,129.18608,128.941,2022-01-26 20:00:00+01:00
35,126.345276,127.168144,2022-01-26 21:00:00+01:00
36,118.98118,127.80325,2022-01-26 22:00:00+01:00
37,113.38269,124.22881,2022-01-26 23:00:00+01:00
