,forecasts,actuals,datetime
14,173.30383,143.04222,2022-01-11 00:00:00+01:00
15,170.59724,142.02815,2022-01-11 01:00:00+01:00
16,168.45677,141.01407,2022-01-11 02:00:00+01:00
17,172.87212,140.0,2022-01-11 03:00:00+01:00
18,171.01073,146.1,2022-01-11 04:00:00+01:00
19,172.9471,161.47821,2022-01-11 05:00:00+01:00
20,172.61687,166.0,2022-01-11 06:00:00+01:00
21,172.47252,162.28,2022-01-11 07:00:00+01:00
22,171.95903,154.16411,2022-01-11 08:00:00+01:00
23,171.78694,171.00728,2022-01-11 09:00:00+01:00
24,171.70665,161.47841,2022-01-11 10:00:00+01:00
25,172.7795,161.71324,2022-01-11 11:00:00+01:00
26,172.05489,154.82674,2022-01-11 12:00:00+01:00
27,171.80147,149.35323,2022-01-11 13:00:00+01:00
28,173.04274,147.41046,2022-01-11 14:00:00+01:00
29,172.92213,144.89455,2022-01-11 15:00:00+01:00
30,172.9569,140.83217,2022-01-11 16:00:00+01:00
31,172.96503,145.84233,2022-01-11 17:00:00+01:00
32,172.96765,143.31064,2022-01-11 18:00:00+01:00
33,171.2998,135.07487,2022-01-11 19:00:00+01:00
34,171.28027,135.32597,2022-01-11 20:00:00+01:00
35,171.2653,135.01689,2022-01-11 21:00:00+01:00
36,172.91418,135.25748,2022-01-11 22:00:00+01:00
37,171.5019,134.89217,2022-01-11 23:00:00+01:00
