,forecasts,actuals,datetime
14,137.58858,127.60995,2022-01-23 00:00:00+01:00
15,137.58858,129.37,2022-01-23 01:00:00+01:00
16,137.58858,129.2963,2022-01-23 02:00:00+01:00
17,137.58858,129.47752,2022-01-23 03:00:00+01:00
18,137.58858,129.65877,2022-01-23 04:00:00+01:00
19,138.72032,129.84,2022-01-23 05:00:00+01:00
20,138.72333,129.87231,2022-01-23 06:00:00+01:00
21,138.35835,129.90462,2022-01-23 07:00:00+01:00
22,138.35835,132.6264,2022-01-23 08:00:00+01:00
23,138.58067,135.3482,2022-01-23 09:00:00+01:00
24,138.70152,138.07,2022-01-23 10:00:00+01:00
25,138.6458,136.535,2022-01-23 11:00:00+01:00
26,138.59702,135.0,2022-01-23 12:00:00+01:00
27,138.35834,136.1,2022-01-23 13:00:00+01:00
28,138.36105,137.2,2022-01-23 14:00:00+01:00
29,138.33653,138.3,2022-01-23 15:00:00+01:00
30,137.5824,138.7,2022-01-23 16:00:00+01:00
31,137.95428,139.1,2022-01-23 17:00:00+01:00
32,139.12964,123.24651,2022-01-23 18:00:00+01:00
33,139.12964,126.953094,2022-01-23 19:00:00+01:00
34,138.06964,130.65967,2022-01-23 20:00:00+01:00
35,137.89095,128.56471,2022-01-23 21:00:00+01:00
36,122.1368,109.13282,2022-01-23 22:00:00+01:00
37,110.97732,109.497444,2022-01-23 23:00:00+01:00
