,forecasts,actuals,datetime
14,137.54607,144.5,2022-01-10 00:00:00+01:00
15,135.26073,133.9188,2022-01-10 01:00:00+01:00
16,135.70537,130.81125,2022-01-10 02:00:00+01:00
17,135.74901,134.18819,2022-01-10 03:00:00+01:00
18,136.76358,142.9926,2022-01-10 04:00:00+01:00
19,152.17082,152.15309,2022-01-10 05:00:00+01:00
20,155.45667,171.43698,2022-01-10 06:00:00+01:00
21,155.52821,245.7913,2022-01-10 07:00:00+01:00
22,155.52794,323.36282,2022-01-10 08:00:00+01:00
23,155.52792,326.75516,2022-01-10 09:00:00+01:00
24,155.5279,321.305,2022-01-10 10:00:00+01:00
25,155.528,317.9799,2022-01-10 11:00:00+01:00
26,155.53664,305.43573,2022-01-10 12:00:00+01:00
27,155.53813,306.2917,2022-01-10 13:00:00+01:00
28,155.57104,180.5447,2022-01-10 14:00:00+01:00
29,155.90498,172.01086,2022-01-10 15:00:00+01:00
30,156.35449,161.94762,2022-01-10 16:00:00+01:00
31,155.64305,163.16,2022-01-10 17:00:00+01:00
32,155.55202,159.1,2022-01-10 18:00:00+01:00
33,155.63022,155.04,2022-01-10 19:00:00+01:00
34,155.6775,148.53369,2022-01-10 20:00:00+01:00
35,155.96083,138.7023,2022-01-10 21:00:00+01:00
36,156.37369,146.2,2022-01-10 22:00:00+01:00
37,155.36078,129.76846,2022-01-10 23:00:00+01:00
