,forecasts,actuals,datetime
14,167.85254,111.6967,2022-01-12 00:00:00+01:00
15,167.73032,127.19802,2022-01-12 01:00:00+01:00
16,168.09662,114.41967,2022-01-12 02:00:00+01:00
17,168.00478,123.144516,2022-01-12 03:00:00+01:00
18,168.0638,89.607994,2022-01-12 04:00:00+01:00
19,168.8139,123.38687,2022-01-12 05:00:00+01:00
20,168.81671,127.02,2022-01-12 06:00:00+01:00
21,169.04408,139.0,2022-01-12 07:00:00+01:00
22,169.91652,101.10109,2022-01-12 08:00:00+01:00
23,169.91473,136.06195,2022-01-12 09:00:00+01:00
24,171.0988,131.00832,2022-01-12 10:00:00+01:00
25,183.51117,138.97008,2022-01-12 11:00:00+01:00
26,186.75142,135.03175,2022-01-12 12:00:00+01:00
27,186.1068,119.23779,2022-01-12 13:00:00+01:00
28,186.0608,121.06984,2022-01-12 14:00:00+01:00
29,186.68156,127.55136,2022-01-12 15:00:00+01:00
30,187.42339,136.5,2022-01-12 16:00:00+01:00
31,181.96397,123.08611,2022-01-12 17:00:00+01:00
32,175.85909,86.79647,2022-01-12 18:00:00+01:00
33,173.79602,108.94239,2022-01-12 19:00:00+01:00
34,171.34955,89.64112,2022-01-12 20:00:00+01:00
35,170.10004,93.7079,2022-01-12 21:00:00+01:00
36,159.62929,76.486664,2022-01-12 22:00:00+01:00
37,135.17558,45.74558,2022-01-12 23:00:00+01:00
