,forecasts,actuals,datetime
14,134.89778,100.0,2022-01-06 00:00:00+01:00
15,134.92659,104.263336,2022-01-06 01:00:00+01:00
16,129.0699,108.526665,2022-01-06 02:00:00+01:00
17,104.59693,110.03956,2022-01-06 03:00:00+01:00
18,108.13043,118.17178,2022-01-06 04:00:00+01:00
19,108.128815,100.0,2022-01-06 05:00:00+01:00
20,134.85327,127.333336,2022-01-06 06:00:00+01:00
21,164.43816,154.66667,2022-01-06 07:00:00+01:00
22,166.35527,182.0,2022-01-06 08:00:00+01:00
23,166.70148,187.97887,2022-01-06 09:00:00+01:00
24,166.95697,215.6,2022-01-06 10:00:00+01:00
25,167.54594,211.83,2022-01-06 11:00:00+01:00
26,167.44472,208.03642,2022-01-06 12:00:00+01:00
27,167.4451,204.24286,2022-01-06 13:00:00+01:00
28,167.91757,204.76503,2022-01-06 14:00:00+01:00
29,170.34547,202.75026,2022-01-06 15:00:00+01:00
30,170.34607,225.23257,2022-01-06 16:00:00+01:00
31,170.34607,249.84102,2022-01-06 17:00:00+01:00
32,170.34607,243.94943,2022-01-06 18:00:00+01:00
33,170.27814,197.98747,2022-01-06 19:00:00+01:00
34,170.27814,161.40936,2022-01-06 20:00:00+01:00
35,168.99211,138.02144,2022-01-06 21:00:00+01:00
36,166.75296,113.14258,2022-01-06 22:00:00+01:00
37,142.71954,122.0,2022-01-06 23:00:00+01:00
