,forecasts,actuals,datetime
14,114.03329,102.59901,2022-01-09 00:00:00+01:00
15,113.80465,91.49,2022-01-09 01:00:00+01:00
16,113.79141,110.100136,2022-01-09 02:00:00+01:00
17,113.66165,94.087456,2022-01-09 03:00:00+01:00
18,116.01415,83.076065,2022-01-09 04:00:00+01:00
19,117.02975,101.48365,2022-01-09 05:00:00+01:00
20,117.826744,100.5688,2022-01-09 06:00:00+01:00
21,118.369995,112.84398,2022-01-09 07:00:00+01:00
22,118.60479,101.87,2022-01-09 08:00:00+01:00
23,118.67596,140.73914,2022-01-09 09:00:00+01:00
24,129.4521,139.62445,2022-01-09 10:00:00+01:00
25,130.77861,147.62148,2022-01-09 11:00:00+01:00
26,134.223,149.94135,2022-01-09 12:00:00+01:00
27,134.91254,138.61383,2022-01-09 13:00:00+01:00
28,135.02324,142.86407,2022-01-09 14:00:00+01:00
29,138.01479,147.05458,2022-01-09 15:00:00+01:00
30,155.85088,203.26607,2022-01-09 16:00:00+01:00
31,170.39008,224.68506,2022-01-09 17:00:00+01:00
32,173.22127,270.72867,2022-01-09 18:00:00+01:00
33,174.01787,223.25444,2022-01-09 19:00:00+01:00
34,171.96196,159.12936,2022-01-09 20:00:00+01:00
35,171.71889,171.01385,2022-01-09 21:00:00+01:00
36,171.87877,132.92284,2022-01-09 22:00:00+01:00
37,167.23633,130.6084,2022-01-09 23:00:00+01:00
