,forecasts,actuals,datetime
14,107.14376,112.66,2022-01-05 00:00:00+01:00
15,104.61129,102.88,2022-01-05 01:00:00+01:00
16,105.29006,120.33671,2022-01-05 02:00:00+01:00
17,106.066536,81.8,2022-01-05 03:00:00+01:00
18,105.46543,90.17,2022-01-05 04:00:00+01:00
19,105.38806,107.42,2022-01-05 05:00:00+01:00
20,114.95273,118.08,2022-01-05 06:00:00+01:00
21,122.897156,122.45793,2022-01-05 07:00:00+01:00
22,123.88177,158.83519,2022-01-05 08:00:00+01:00
23,123.60952,162.73337,2022-01-05 09:00:00+01:00
24,123.62437,154.43443,2022-01-05 10:00:00+01:00
25,124.01818,161.05339,2022-01-05 11:00:00+01:00
26,116.86962,156.86626,2022-01-05 12:00:00+01:00
27,109.95753,150.85492,2022-01-05 13:00:00+01:00
28,117.08938,144.60872,2022-01-05 14:00:00+01:00
29,127.97601,150.40025,2022-01-05 15:00:00+01:00
30,127.97999,145.33977,2022-01-05 16:00:00+01:00
31,126.46781,155.19014,2022-01-05 17:00:00+01:00
32,130.2346,140.18199,2022-01-05 18:00:00+01:00
33,131.36873,135.76852,2022-01-05 19:00:00+01:00
34,113.06774,127.14764,2022-01-05 20:00:00+01:00
35,112.05424,122.739746,2022-01-05 21:00:00+01:00
36,111.64291,128.17307,2022-01-05 22:00:00+01:00
37,111.3035,126.60987,2022-01-05 23:00:00+01:00
