,forecasts,actuals,datetime
14,136.5161,119.90225,2022-01-08 00:00:00+01:00
15,135.33003,126.44079,2022-01-08 01:00:00+01:00
16,154.2746,124.5242,2022-01-08 02:00:00+01:00
17,113.8684,115.18136,2022-01-08 03:00:00+01:00
18,113.074455,137.71031,2022-01-08 04:00:00+01:00
19,113.970764,141.10692,2022-01-08 05:00:00+01:00
20,115.56192,136.96948,2022-01-08 06:00:00+01:00
21,116.244545,143.71227,2022-01-08 07:00:00+01:00
22,127.67443,138.755,2022-01-08 08:00:00+01:00
23,129.0251,149.02959,2022-01-08 09:00:00+01:00
24,134.62628,142.01653,2022-01-08 10:00:00+01:00
25,131.88591,143.40324,2022-01-08 11:00:00+01:00
26,132.03276,144.68553,2022-01-08 12:00:00+01:00
27,134.82085,145.52765,2022-01-08 13:00:00+01:00
28,134.82095,142.25745,2022-01-08 14:00:00+01:00
29,134.82097,148.70145,2022-01-08 15:00:00+01:00
30,139.85689,147.57703,2022-01-08 16:00:00+01:00
31,146.34135,155.23332,2022-01-08 17:00:00+01:00
32,130.93584,137.35555,2022-01-08 18:00:00+01:00
33,129.23172,132.12766,2022-01-08 19:00:00+01:00
34,133.55365,116.96149,2022-01-08 20:00:00+01:00
35,134.69835,125.790344,2022-01-08 21:00:00+01:00
36,133.42902,142.70604,2022-01-08 22:00:00+01:00
37,111.83161,142.70604,2022-01-08 23:00:00+01:00
