,forecasts,actuals,datetime
14,84.93655,64.29475,2022-01-17 00:00:00+01:00
15,100.641945,96.33032,2022-01-17 01:00:00+01:00
16,101.59693,93.86282,2022-01-17 02:00:00+01:00
17,101.05627,92.65051,2022-01-17 03:00:00+01:00
18,86.418785,89.57394,2022-01-17 04:00:00+01:00
19,102.10235,114.4458,2022-01-17 05:00:00+01:00
20,123.63877,157.43552,2022-01-17 06:00:00+01:00
21,135.46574,170.53125,2022-01-17 07:00:00+01:00
22,146.41438,236.31041,2022-01-17 08:00:00+01:00
23,150.88971,222.68385,2022-01-17 09:00:00+01:00
24,151.78635,214.87834,2022-01-17 10:00:00+01:00
25,138.40761,133.96257,2022-01-17 11:00:00+01:00
26,117.06063,134.73393,2022-01-17 12:00:00+01:00
27,101.11677,119.971535,2022-01-17 13:00:00+01:00
28,81.53431,125.38465,2022-01-17 14:00:00+01:00
29,94.24064,124.306046,2022-01-17 15:00:00+01:00
30,94.73382,123.10455,2022-01-17 16:00:00+01:00
31,96.29929,133.56358,2022-01-17 17:00:00+01:00
32,95.37707,137.83696,2022-01-17 18:00:00+01:00
33,97.376656,132.34132,2022-01-17 19:00:00+01:00
34,86.54516,129.32112,2022-01-17 20:00:00+01:00
35,82.856834,131.28996,2022-01-17 21:00:00+01:00
36,94.18872,134.63254,2022-01-17 22:00:00+01:00
37,101.662346,121.731544,2022-01-17 23:00:00+01:00
