,forecasts,actuals,datetime
14,134.4788,121.51713,2022-01-22 00:00:00+01:00
15,126.28729,114.2837,2022-01-22 01:00:00+01:00
16,121.96936,114.22141,2022-01-22 02:00:00+01:00
17,119.71741,113.414986,2022-01-22 03:00:00+01:00
18,119.71454,118.123764,2022-01-22 04:00:00+01:00
19,118.981445,122.72174,2022-01-22 05:00:00+01:00
20,121.753235,125.70886,2022-01-22 06:00:00+01:00
21,123.50283,139.01851,2022-01-22 07:00:00+01:00
22,131.28201,142.19188,2022-01-22 08:00:00+01:00
23,142.61316,144.5715,2022-01-22 09:00:00+01:00
24,155.95216,145.16972,2022-01-22 10:00:00+01:00
25,157.35092,145.21492,2022-01-22 11:00:00+01:00
26,157.71136,144.9993,2022-01-22 12:00:00+01:00
27,157.85072,139.95398,2022-01-22 13:00:00+01:00
28,157.89624,140.66483,2022-01-22 14:00:00+01:00
29,157.9099,139.64737,2022-01-22 15:00:00+01:00
30,150.1749,145.71643,2022-01-22 16:00:00+01:00
31,158.50238,152.32076,2022-01-22 17:00:00+01:00
32,159.68379,144.97285,2022-01-22 18:00:00+01:00
33,152.17413,139.9014,2022-01-22 19:00:00+01:00
34,134.04793,142.05544,2022-01-22 20:00:00+01:00
35,134.08315,135.11035,2022-01-22 21:00:00+01:00
36,134.06572,130.27391,2022-01-22 22:00:00+01:00
37,132.75291,125.8499,2022-01-22 23:00:00+01:00
